0	Unclassified
4071	k__Bacteria
173	k__Bacteria	p__Bacillota
209	k__Bacteria	p__Bacillota	c__Bacilli
1184	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales
3803	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae
99	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Ectobacillus
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Pelodictyon
1	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Pelodictyon	s__Pelodictyon_phaeoclathratiforme
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Prosthecochloris
1	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Prosthecochloris	s__Prosthecochloris_sp._GSB1
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Candidatus_Thermochlorobacteriaceae
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Candidatus_Thermochlorobacteriaceae	g__Candidatus_Thermochlorobacter
1	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Candidatus_Thermochlorobacteriaceae	g__Candidatus_Thermochlorobacter	s__Candidatus_Thermochlorobacter_aerophilum
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae
0	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton
1	k__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton	s__Chloroherpeton_thalassium
3	k__Bacteria	p__Chlorobiota	s__Chlorobi_bacterium_OLB5
2	k__Bacteria	p__Chlorobiota	s__Chlorobi_bacterium_OLB7
2	k__Bacteria	p__Chlorobiota	s__Chlorobiota_bacterium
1	k__Bacteria	p__Chlorobiota	s__Chlorobi_bacterium_NICIL-2
0	k__Bacteria	p__Balneolota
0	k__Bacteria	p__Balneolota	c__Balneolia
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae
3	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	s__Balneolaceae_bacterium
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Fodinibius
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Fodinibius	s__Fodinibius_roseus
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Fodinibius	s__Aliifodinibius_salipaludis
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Rhodohalobacter
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Rhodohalobacter	s__Rhodohalobacter_sp._SW132
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Rhodohalobacter	s__Rhodohalobacter_sp._614A
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Gracilimonas
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Gracilimonas	s__Gracilimonas_tropica
0	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Halalkalibaculum
1	k__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__Halalkalibaculum	s__Halalkalibaculum_roseum
4	k__Bacteria	s__Bacteroidetes/Chlorobi_group_bacterium_ChocPot_Mid
0	k__Bacteria	p__Candidatus_Kapabacteria
1	k__Bacteria	p__Candidatus_Kapabacteria	s__Candidatus_Kapabacteria_bacterium
93	k__Bacteria	p__Gemmatimonadota
300	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadota_bacterium
37	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_HGW-Gemmatimonadetes-1
18	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_RBG_16_66_8
12	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_T265
11	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_SCN_70-22
2	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_GWC2_71_9
2	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_RIFCSPLOWO2_12_FULL_68_9
2	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_21-71-4
1	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_GWC2_71_10
1	k__Bacteria	p__Gemmatimonadota	s__Gemmatimonadetes_bacterium_13_2_20CM_2_69_23
0	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes
0	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales
0	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Roseisolibacter
27	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Roseisolibacter	s__Roseisolibacter_agri
9	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Roseisolibacter	s__Roseisolibacter_sp._H3M3-2
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas
3	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._SG8_17
2	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._SM23_52
2	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp.
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._SG8_23
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._SG8_28
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._SG8_38_2
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_sp._13_1_20CM_3_60_15
7	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_groenlandica
1	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_phototrophica
0	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatirosa
7	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatirosa	s__Gemmatirosa_kalamazoonensis
6	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	s__uncultured_Gemmatimonadaceae_bacterium
4	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	s__Gemmatimonadaceae_bacterium_4484_173
22	k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	s__Gemmatimonadales_bacterium
6	k__Bacteria	p__Gemmatimonadota	s__uncultured_Gemmatimonadota_bacterium
0	k__Bacteria	p__Gemmatimonadota	c__Longimicrobiia
0	k__Bacteria	p__Gemmatimonadota	c__Longimicrobiia	o__Longimicrobiales
0	k__Bacteria	p__Gemmatimonadota	c__Longimicrobiia	o__Longimicrobiales	f__Longimicrobiaceae
0	k__Bacteria	p__Gemmatimonadota	c__Longimicrobiia	o__Longimicrobiales	f__Longimicrobiaceae	g__Longimicrobium
3	k__Bacteria	p__Gemmatimonadota	c__Longimicrobiia	o__Longimicrobiales	f__Longimicrobiaceae	g__Longimicrobium	s__Longimicrobium_terrae
0	k__Bacteria	p__Candidatus_Latescibacteria
54	k__Bacteria	p__Candidatus_Latescibacteria	s__Candidatus_Latescibacteria_bacterium
2	k__Bacteria	p__Candidatus_Latescibacteria	s__Candidatus_Latescibacteria_bacterium_4484_107
1	k__Bacteria	p__Candidatus_Latescibacteria	s__Latescibacteria_bacterium_DG_63
4	k__Bacteria	p__candidate_division_Zixibacteria
12	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium
5	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_RBG_16_53_22
4	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_SM23_81
3	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_HGW-Zixibacteria-1
2	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_RBG_16_43_9
1	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_DG_27
1	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_SM1_73
1	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_SM23_73_2
1	k__Bacteria	p__candidate_division_Zixibacteria	s__candidate_division_Zixibacteria_bacterium_RBG_16_40_9
1	k__Bacteria	p__Candidatus_Hydrogenedentes
3	k__Bacteria	p__Candidatus_Hydrogenedentes	s__Candidatus_Hydrogenedentes_bacterium_ADurb.Bin179
3	k__Bacteria	p__Candidatus_Hydrogenedentes	s__Candidatus_Hydrogenedentes_bacterium
1	k__Bacteria	p__Candidatus_Hydrogenedentes	s__Candidatus_Hydrogenedentes_bacterium_CG07_land_8_20_14_0_80_42_17
2	k__Bacteria	p__Candidatus_Marinimicrobia
2	k__Bacteria	p__Candidatus_Marinimicrobia	s__Candidatus_Marinimicrobia_bacterium_CG08_land_8_20_14_0_20_45_22
2	k__Bacteria	p__Candidatus_Marinimicrobia	s__Candidatus_Marinimicrobia_bacterium
1	k__Bacteria	p__Candidatus_Marinimicrobia	s__Candidatus_Marinimicrobia_bacterium_CG_4_10_14_0_2_um_filter_48_9
0	k__Bacteria	p__Candidatus_Cloacimonadota
0	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia
0	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales
0	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales	f__Candidatus_Cloacimonadaceae
0	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales	f__Candidatus_Cloacimonadaceae	g__Candidatus_Cloacimonas
2	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales	f__Candidatus_Cloacimonadaceae	g__Candidatus_Cloacimonas	s__Candidatus_Cloacimonas_sp._4484_209
0	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales	f__Candidatus_Cloacimonadaceae	g__Candidatus_Syntrophosphaera
1	k__Bacteria	p__Candidatus_Cloacimonadota	c__Candidatus_Cloacimonadia	o__Candidatus_Cloacimonadales	f__Candidatus_Cloacimonadaceae	g__Candidatus_Syntrophosphaera	s__Candidatus_Syntrophosphaera_thermopropionivorans
2	k__Bacteria	p__Candidatus_Cloacimonadota	s__Candidatus_Cloacimonadota_bacterium
1	k__Bacteria	p__Candidatus_Cloacimonadota	s__Candidatus_Cloacimonetes_bacterium_4572_55
0	k__Bacteria	p__Fibrobacterota
0	k__Bacteria	p__Fibrobacterota	c__Fibrobacteria
0	k__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales
0	k__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae
2	k__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter
2	k__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__Fibrobacter_succinogenes
0	k__Bacteria	p__Fibrobacterota	c__Chitinivibrionia
0	k__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales
0	k__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinivibrionaceae
0	k__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinivibrionaceae	g__Chitinivibrio
1	k__Bacteria	p__Fibrobacterota	c__Chitinivibrionia	o__Chitinivibrionales	f__Chitinivibrionaceae	g__Chitinivibrio	s__Chitinivibrio_alkaliphilus
2	k__Bacteria	p__Candidatus_Kryptonia
0	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Thermokryptus
1	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Thermokryptus	s__Candidatus_Thermokryptus_mobilis
0	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Kryptobacter
1	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Kryptobacter	s__Candidatus_Kryptobacter_tengchongensis
0	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Kryptonium
1	k__Bacteria	p__Candidatus_Kryptonia	g__Candidatus_Kryptonium	s__Candidatus_Kryptonium_thompsoni
1	k__Bacteria	p__Candidatus_Fermentibacteria
1	k__Bacteria	p__Candidatus_Fermentibacteria	s__candidate_division_Hyd24-12_bacterium_ADurb.Bin004
1	k__Bacteria	p__Candidatus_Fermentibacteria	s__Candidatus_Fermentibacteria_bacterium
0	k__Bacteria	g__Candidatus_Aegiribacteria
2	k__Bacteria	g__Candidatus_Aegiribacteria	s__Candidatus_Aegiribacteria_sp._MLS_C
0	k__Bacteria	p__candidate_division_LCP-89
1	k__Bacteria	p__candidate_division_LCP-89	s__candidate_division_LCP-89_bacterium_B3_LCP
7	k__Bacteria	p__Candidatus_Tectomicrobia
569	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella
164	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella	s__Candidatus_Entotheonella_serta
101	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella	s__Candidatus_Entotheonella_palauensis
84	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella	s__Candidatus_Entotheonella_factor
72	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella	s__Candidatus_Entotheonella_gemina
4	k__Bacteria	p__Candidatus_Tectomicrobia	g__Candidatus_Entotheonella	s__uncultured_Candidatus_Entotheonella_sp.
737	k__Bacteria	p__Candidatus_Tectomicrobia	s__Candidatus_Tectomicrobia_bacterium
9	k__Bacteria	p__Candidatus_Tectomicrobia	s__Candidatus_Tectomicrobia_bacterium_RIFCSPLOWO2_12_FULL_69_37
4	k__Bacteria	p__Candidatus_Tectomicrobia	s__Candidatus_Tectomicrobia_bacterium_RIFCSPLOWO2_02_FULL_70_19
1	k__Bacteria	p__Nitrospinota
128	k__Bacteria	p__Nitrospinota	s__Nitrospinota_bacterium
6	k__Bacteria	p__Nitrospinota	s__Nitrospinae_bacterium_RIFCSPLOWO2_12_FULL_45_22
2	k__Bacteria	p__Nitrospinota	s__Nitrospinae_bacterium_RIFCSPLOWO2_12_FULL_47_7
2	k__Bacteria	p__Nitrospinota	s__Nitrospinae_bacterium_CG11_big_fil_rev_8_21_14_0_20_45_15
1	k__Bacteria	p__Nitrospinota	s__Nitrospinae_bacterium_RIFCSPLOWO2_12_39_16
1	k__Bacteria	p__Nitrospinota	s__Nitrospinae_bacterium_CG11_big_fil_rev_8_21_14_0_20_56_8
0	k__Bacteria	p__Nitrospinota	c__Nitrospinia
0	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales
0	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae
3	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__Nitrospina
15	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__Nitrospina	s__Nitrospina_sp.
2	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__Nitrospina	s__Nitrospina_watsonii
5	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	s__Nitrospinaceae_bacterium
0	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__Candidatus_Nitronauta
4	k__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__Candidatus_Nitronauta	s__Candidatus_Nitronauta_litoralis
64	k__Bacteria	p__Nitrospirota
637	k__Bacteria	p__Nitrospirota	s__Nitrospirota_bacterium
44	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWC2_57_13
4	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_13_39_12
4	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_19FT_COMBO_55_12
4	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_19FT_COMBO_58_9
3	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_16_43_11
3	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RIFCSPLOWO2_12_FULL_63_8
2	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWC2_42_7
2	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWC2_56_14
2	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_13_41_22
2	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_13_43_8
2	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_13_1_40CM_2_62_10
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWB2_47_37
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWC2_57_9
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_16_43_8
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_16_64_22
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RBG_19FT_COMBO_42_15
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RIFCSPHIGHO2_01_FULL_66_17
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RIFCSPHIGHO2_02_FULL_40_19
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_RIFCSPLOWO2_02_FULL_62_14
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_13_1_40CM_62_7
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_CG2_30_70_394
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_GWA2_42_11
1	k__Bacteria	p__Nitrospirota	s__Nitrospirae_bacterium_CG_4_9_14_3_um_filter_51_5
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales
4	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae
63	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira
99	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp.
47	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._CG24E
32	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._KM1
21	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._CG24C
8	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._SG-bin1
5	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._ST-bin5
5	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._CG24A
3	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._OLB3
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._ND1
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._SCGC_AG-212-E16
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._ST-bin4
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._CG24D
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_sp._UW-LDO-01
55	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_japonica
29	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_moscoviensis
29	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_tepida
12	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_defluvii
12	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_nitrificans
5	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_lenta
4	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_inopinata
4	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_nitrosa
4	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_kreftii
56	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	s__Nitrospiraceae_bacterium
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Sulfobium
6	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Sulfobium	s__Candidatus_Sulfobium_mesophilum
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_II
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_II	s__Leptospirillum_sp._Group_II_'5-way_CG'
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_III
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_III	s__Leptospirillum_ferrodiazotrophum
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetobacterium
3	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetobacterium	s__Candidatus_Magnetobacterium_casensis
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetobacterium	s__Candidatus_Magnetobacterium_bavaricum
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetominusculus
2	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetominusculus	s__Candidatus_Magnetominusculus_xianensis
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetoovum
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Candidatus_Magnetoovum	s__Candidatus_Magnetoovum_chiemensis
47	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	s__Nitrospirales_bacterium
3	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	s__Nitrospirales_bacterium_LBB_01
0	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Candidatus_Troglogloeales
1	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Candidatus_Troglogloeales	f__Candidatus_Manganitrophaceae
9	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Candidatus_Troglogloeales	f__Candidatus_Manganitrophaceae	g__Candidatus_Manganitrophus
98	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Candidatus_Troglogloeales	f__Candidatus_Manganitrophaceae	g__Candidatus_Manganitrophus	s__Candidatus_Manganitrophus_noduliformans
8	k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Candidatus_Troglogloeales	f__Candidatus_Manganitrophaceae	g__Candidatus_Manganitrophus	s__Candidatus_Manganitrophus_sp.
